retailer,product_title,brand,size_text,current_price,regular_price,percent_off,promo_text,product_url,image_url,scraped_at
petsmart,"Authority® Everyday Health Adult Cat Wet Food - 5.5 Oz, Flaked in Gravy",Authority,5.5 Oz,2.45,2.89,15,,https://www.petsmart.ca/cat/food-and-treats/wet-food/authority-everyday-health-adult-cat-wet-food---55-oz-flaked-in-gravy-51010.html,,2025-12-14T12:06:06.323Z
petsmart,"Natural Balance Limited Ingredient Diets Cat Food - Grain Free, Chicken & Green Pea",Natural,,3.19,,,,https://www.petsmart.ca/cat/food-and-treats/wet-food/natural-balance-limited-ingredient-diets-cat-food---grain-free-chicken-and-green-pea-30327.html,,2025-12-14T12:06:09.385Z
quiverquant,"AAPLAPPLE INC. - COMMON STOCKStock - Sale - Oct 24, 2025",AAPLAPPLE INC. - COMMON STOCKStock,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.239Z
quiverquant,"AVGOBROADCOM INC. - COMMON STOCKStock - Sale - Jul 9, 2025",AVGOBROADCOM INC. - COMMON STOCKStock,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.253Z
quiverquant,"AMZNAMAZON.COM, INC. - COMMON STOCKOptions - Sale - Jan 17, 2025","AMZNAMAZON.COM, INC. - COMMON STOCKOptions",,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.269Z
quiverquant,"GOOGLALPHABET INC. - CLASS A COMMON STOCKOptions - Sale - Jan 17, 2025",GOOGLALPHABET INC. - CLASS A COMMON STOCKOptions,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.279Z
quiverquant,"NVDANVIDIA CORPORATION - COMMON STOCKOptions - Sale - Jan 17, 2025",NVDANVIDIA CORPORATION - COMMON STOCKOptions,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.292Z
quiverquant,"TEMTEMPUS AI, INC. - CLASS A COMMON STOCKOptions - Sale - Jan 17, 2025","TEMTEMPUS AI, INC. - CLASS A COMMON STOCKOptions",,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.304Z
quiverquant,"VSTVISTRA CORP. COMMON STOCKOptions - Sale - Jan 17, 2025",VSTVISTRA CORP. COMMON STOCKOptions,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.315Z
quiverquant,"AAPLAPPLE INC. - COMMON STOCKStock - Sale - Jan 17, 2025",AAPLAPPLE INC. - COMMON STOCKStock,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.329Z
quiverquant,"NVDANVIDIA CORPORATION - COMMON STOCKStock - Sale - Jan 17, 2025",NVDANVIDIA CORPORATION - COMMON STOCKStock,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.341Z
quiverquant,"NVDANVIDIA CORPORATION - COMMON STOCKStock - Sale - Jan 17, 2025",NVDANVIDIA CORPORATION - COMMON STOCKStock,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.353Z
quiverquant,"PANWPALO ALTO NETWORKS, INC.Stock - Sale - Jan 17, 2025","PANWPALO ALTO NETWORKS, INC.Stock",,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.364Z
quiverquant,"MSFTMICROSOFT CORPORATION - COMMON STOCKStock - Sale - Jul 30, 2024",MSFTMICROSOFT CORPORATION - COMMON STOCKStock,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.380Z
quiverquant,"NVDANVIDIA CORPORATION - COMMON STOCKStock - Sale - Jul 30, 2024",NVDANVIDIA CORPORATION - COMMON STOCKStock,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.390Z
quiverquant,"VVISA INC.Stock - Sale - Jul 2, 2024",VVISA INC.Stock,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.401Z
quiverquant,"NVDANVIDIA CORPORATION - COMMON STOCKStock - Sale - Jul 2, 2024",NVDANVIDIA CORPORATION - COMMON STOCKStock,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.411Z
quiverquant,"AVGOBROADCOM INC. - COMMON STOCKOptions - Sale - Jul 2, 2024",AVGOBROADCOM INC. - COMMON STOCKOptions,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.423Z
quiverquant,"TSLATESLA, INC. - COMMON STOCKStock - Sale - Jul 2, 2024","TSLATESLA, INC. - COMMON STOCKStock",,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.434Z
quiverquant,"PANWPALO ALTO NETWORKS, INC.Options - Sale - Feb 23, 2024","PANWPALO ALTO NETWORKS, INC.Options",,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.447Z
quiverquant,"PANWPALO ALTO NETWORKS, INC.Options - Sale - Feb 23, 2024","PANWPALO ALTO NETWORKS, INC.Options",,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.458Z
quiverquant,"NVDANVIDIA CORPORATIONOptions - Sale - Dec 21, 2023",NVDANVIDIA CORPORATIONOptions,,0.00,0.00,0,Sale,https://www.quiverquant.com/congresstrading/politician/Nancy%20Pelosi-P000197,,2025-12-14T12:06:14.468Z
